date,segment,sales
31-07-2012,Consumer,2309.65
5/2/2013,Corporate,3709.395
17-10-2013,Consumer,5175.171
28-01-2013,Home Office,2892.51
5/11/2013,Consumer,2832.96
28/06/2013,Corporate,2862.675
7/11/2011,Consumer,1822.08
14-04-2012,Consumer,5244.84
14-10-2014,Corporate,5083.96
28-01-2012,Consumer,4297.644
5/4/2011,Corporate,4164.05
19-04-2012,Corporate,4626.15
27-12-2011,Consumer,2616.96
13-11-2012,Home Office,2221.8
6/6/2013,Consumer,3701.52
31-07-2014,Corporate,1869.588
3/11/2014,Corporate,2249.91
8/9/2014,Corporate,7958.58
31-01-2014,Corporate,2565.594
5/12/2014,Consumer,3409.74
8/8/2012,Corporate,1977.72
29-10-2011,Consumer,2735.952
2/5/2011,Corporate,2754
27-02-2013,Home Office,5273.7
31-07-2014,Consumer,1713.84
5/9/2014,Consumer,2106.496
17-12-2011,Corporate,1715.16
14-03-2011,Consumer,3069.738
11/3/2013,Home Office,4158.912
25-02-2012,Consumer,1878.72
28-12-2011,Corporate,1696.64
17-07-2012,Corporate,2402.865
15-10-2012,Consumer,2453.43
3/11/2011,Corporate,2526.93
12/12/2011,Consumer,3610.848
14-09-2011,Corporate,3817.26
14-09-2011,Consumer,2799.96
5/11/2014,Corporate,7999.98
14-01-2014,Consumer,4141.02
10/1/2011,Consumer,2875.095
22-08-2013,Consumer,3200.5962
11/11/2014,Home Office,4518.78
26-09-2014,Corporate,5667.87
13-12-2012,Consumer,5785.02
23-09-2011,Consumer,3018.624
23-09-2011,Consumer,9449.95
8/3/2013,Corporate,2092.5
28-08-2014,Consumer,2761.2
1/5/2014,Consumer,2174.13
18-12-2014,Consumer,3473.14
16-06-2012,Consumer,3050.376
18-09-2014,Consumer,2108.64
25-07-2014,Corporate,2399.96
17-12-2011,Corporate,2197.5
18-12-2013,Corporate,2582.16
30-05-2012,Consumer,1526.52
19-03-2012,Corporate,3149.93
25-05-2012,Corporate,1745.34
5/8/2014,Consumer,4191.507
24-08-2014,Consumer,4367.896
11/3/2014,Consumer,3063.27
8/11/2012,Corporate,4643.8
11/8/2014,Corporate,4473
31-08-2013,Corporate,1502.01
18-01-2014,Consumer,5049
2/12/2013,Corporate,2104.55
7/12/2014,Consumer,2188.05
16-12-2014,Corporate,1920.36
20-11-2014,Home Office,1704
9/11/2011,Home Office,1858.68
7/6/2013,Corporate,3298.26
22-11-2011,Consumer,2443.48
29-03-2013,Consumer,3808.8
26-08-2014,Corporate,3427.1496
20-09-2012,Consumer,3441.69
16-05-2014,Consumer,2863.35
16-03-2012,Consumer,6354.95
24-11-2013,Consumer,1487.4
9/11/2011,Home Office,3200.04
28-10-2011,Consumer,2301
19-11-2014,Consumer,5729.346
28-10-2014,Corporate,5301.24
